Red;Plantas;Animales;Enlaces;k máximo;k_degree medio;k_radius medio;NODF;Modularity;Dif. Areas
M_SD_003;25;16;68;3;1,78;2,45;41,09;0,33;0,05
M_SD_004;34;20;95;4;2,37;2,19;39,82;0,35;0,01
M_SD_005;25;13;49;3;1,33;2,38;27,93;0,53;0,1
M_SD_006;21;15;51;3;1,51;2,35;32,79;0,45;0,08
M_SD_007;72;7;143;3;2,34;2,37;51,67;0,28;0
M_SD_008;16;10;110;7;6,56;1,48;56,33;-0,04;-0,01
M_SD_009;7;18;38;3;1,9;2,15;33,02;0,32;0,06
M_SD_010;50;14;234;6;4,48;2,14;42,13;0,04;-0,1
M_SD_011;11;14;47;3;2,14;2,17;45,41;0,31;0,03
M_SD_012;35;29;146;4;2,31;2,57;33,04;0,23;0
M_SD_013;36;19;197;7;4,38;2,31;37,37;0,33;-0,13
M_SD_014;16;17;121;5;5,16;1,87;78,76;0,08;-0,01
M_SD_015;5;27;86;4;4,25;1,65;67,34;0,03;-0,01
M_SD_016;24;61;500;11;8,4;2,01;58,84;0;0,01
M_SD_017;16;8;72;5;4,74;1,63;60,12;0,08;-0,04
M_SD_018;29;32;66;2;0,75;3,41;11,21;0,59;0,21
M_SD_019;169;40;666;7;3,23;2,62;32,87;0,33;-0,09
M_SD_020;25;33;150;5;3,07;2,31;53,55;0,13;-0,01
M_SD_021;18;28;129;5;3,46;2,19;61,52;0,18;-0,01
M_SD_022;207;110;1121;8;3,21;2,8;16,81;0,2;-0,01
M_SD_023;15;8;38;3;2,3;2,03;66,8;0,22;0
M_SD_024;12;7;40;3;2,5;1,99;56,83;0,12;-0,02
M_SD_025;7;6;22;3;2,41;1,69;66,67;0,19;0
M_SD_026;3;3;6;2;1,83;1,33;100;0,17;0
M_SD_027;12;4;31;4;3,45;1,53;73,61;0;0
M_SD_028;8;5;26;4;3,65;1,38;89,47;0,02;0
M_SD_029;4;5;10;2;1,98;1,52;81,25;0,27;0
M_SD_030;5;4;11;2;2,24;1,5;66,67;0,23;0
